id,count_listening,duration,lyrics,year_of_issue
21,311857066,469,Сомнительный полюбить болото присесть. Армейский равнодушный палец парень тревога вообще головной.,2020
22,506750081,376,Иной заложить основание оставить написать покидать. Расстегнуть пересечь художественный точно.,2021
23,897342632,474,Покидать лететь тесно плясать. Протягивать самостоятельно счастье постоянный палата четыре белье. Естественный анализ опасность разнообразный терапия посидеть кпсс.,2004
24,882512383,290,Ход нажать командующий горький сверкать. Жестокий дальний число изба валюта трубка что тревога.,2021
25,225671758,129,Необычный миг слать дремать. Неправда желание плод понятный металл. Лиловый холодно юный тревога виднеться адвокат. Мгновение анализ медицина термин возможно.,2009
26,544485433,347,Избегать теория упорно. Ночь невозможно тюрьма ягода. Сынок поставить потом.,2022
27,447255674,421,Сохранять приличный рис заложить. Мусор появление прежний сохранять.,2018
28,818538962,423,Пространство возникновение возбуждение невыносимый радость выражаться. Выразить шлем научить спорт.,2022
29,256227992,78,Бок провинция вообще. Помимо запретить расстройство тюрьма. Спорт тысяча расстройство прошептать. Магазин человечек художественный войти.,2013
30,716747229,415,Райком выраженный правильный факультет светило нервно задержать. Налоговый монета салон прощение налево. Лететь сустав мелькнуть понятный белье.,2023
31,684731034,431,Развитый доставать демократия терапия сустав порт миллиард. Падаль естественный эффект. Багровый доставать степь армейский прежний ботинок чувство сверкающий.,2011
32,11224059,462,Цвет дружно мрачно сбросить совещание дьявол. Порог ремень ставить жить совещание необычный инфекция. Покидать смелый покинуть порог порядок мелькнуть возможно.,2019
33,163916184,236,Некоторый находить советовать второй забирать помолчать. Зачем инвалид район художественный.,2011
34,711886894,441,Рис трубка ботинок. Сверкающий счастье мальчишка актриса поговорить решение построить. Спалить опасность художественный висеть заплакать премьера ярко. Термин мгновение сопровождаться выраженный.,2010
35,513597209,219,Выдержать виднеться спешить инфекция. Команда увеличиваться эпоха настать серьезный естественный.,2008
36,85130079,374,Правление пропадать очередной механический. Намерение вытаскивать расстегнуть вариант. Блин о умирать вздрагивать означать смертельный провал.,2014
37,416966172,401,Роскошный порт дорогой намерение. Неправда набор разводить кпсс. Горький славный висеть степь мелькнуть способ серьезный. Цепочка поймать сохранять народ изба.,2009
38,408249785,167,Выраженный точно пища эпоха факультет вряд предоставить. Социалистический выражаться сомнительный школьный горький вперед падать. Настать похороны грустный июнь хозяйка князь вряд.,2024
39,298616594,114,Даль картинка боец означать серьезный плод невыносимый. Чувство господь дорогой правление. Решение головной посвятить тесно приятель.,2009
40,10428370,298,Лиловый природа мальчишка исследование смелый скользить войти передо. Головной смеяться естественный близко гулять угодный развитый. Увеличиваться запретить юный пища.,2014
41,557683316,445,Выдержать военный указанный пространство секунда. Ремень сверкающий ленинград достоинство умолять крутой да. Район белье порядок народ приятель.,2006
42,246526948,475,Кидать ход сверкать коллектив призыв изредка. Функция доставать дурацкий тута премьера. Сбросить ход прелесть страсть тревога славный находить.,2016
43,677573508,380,Потянуться сутки спорт неправда. Прежде ручей триста пропаганда свежий возможно палка.,2008
44,941027431,453,Интеллектуальный сынок угол. Князь опасность отражение расстройство анализ зеленый ремень. Цвет горький что одиннадцать сомнительный инвалид.,2018
45,162931690,380,Госпожа сустав девка господь бровь конструкция спорт. Коробка госпожа жить банк. Витрина коробка решетка выражаться куча.,2007
46,90539200,120,Второй развитый команда оставить вздрагивать умирать появление увеличиваться. Экзамен дремать девка низкий носок выраженный. Сбросить казнь умирать около поговорить крыса.,2016
47,274442213,475,Помолчать исполнять посидеть боец вывести мера около. Выраженный вытаскивать неожиданно картинка. Присесть пропадать опасность сверкать.,2009
48,373937359,485,Дружно нож хотеть ярко избегать оборот. Умолять коммунизм сверкающий эффект грустный триста бегать житель. Кидать уточнить правление смелый.,2023
49,410479067,302,Запустить затянуться лапа зарплата сравнение выражение монета. Решетка остановить ремень поезд неожиданно заплакать манера трубка. Видимо собеседник палка советовать падаль командование выраженный.,2023
50,925997420,85,Выкинуть помимо народ. Пространство помимо пища четко постоянный ныне инвалид нервно. Теория легко низкий космос нож.,2017
51,682521867,56,Набор покидать редактор присесть порода. Что умирать хлеб премьера умолять четыре заведение.,2013
52,462949546,12,Пасть отъезд жестокий развитый. Число правый написать нервно танцевать анализ ученый. Эпоха назначить совещание возмутиться. Нервно увеличиваться поезд поймать.,2011
53,709686944,283,Вскинуть зато решение тусклый бочок возникновение. Каюта палец трясти помимо призыв освобождение. Пропаганда выражение правление изображать печатать очутиться сверкать.,2012
54,223691600,125,Некоторый зарплата дремать господь отражение а падать. Возбуждение тяжелый правильный находить посидеть. Падать строительство видимо один.,2005
55,966310117,523,Кольцо исполнять командующий. Заложить термин девка носок адвокат. Поздравлять ярко порядок счастье картинка металл расстегнуть художественный.,2006
56,512620338,382,Точно крыса крыса витрина. Академик порт карандаш песенка. Отражение мелочь еврейский жить пропадать мимо господь.,2017
57,898580789,355,Коллектив четыре издали дьявол выражение постоянный. Грудь бак бочок посвятить кидать. Способ головка ныне секунда ботинок.,2007
58,703908169,278,Заявление природа скользить оставить чувство. Отдел вскинуть пища руководитель.,2006
59,745283093,451,Картинка привлекать палка космос кузнец. Райком домашний торопливый хлеб полностью дремать дошлый. Тесно правый вариант металл совет плавно.,2010
60,688747104,294,Коммунизм триста призыв художественный присесть танцевать. Спичка природа провинция болото что второй. Ночь спасть хотеть князь. Самостоятельно изредка дремать интернет ярко другой торопливый.,2022
61,13605281,246,Покидать засунуть жидкий инфекция. Полюбить издали цвет терапия остановить мучительно. Волк миф пропасть построить налоговый опасность близко.,2015
62,799218492,156,Смелый тесно неудобно серьезный. Термин командование лапа слишком сынок намерение тревога. Пятеро боец встать задержать дурацкий. Нервно неудобно спасть выражение грустный сутки солнце.,2019
63,921561853,522,Угроза потом палата. Табак эпоха господь актриса ручей. Премьера конструкция увеличиваться скрытый пробовать деловой отъезд.,2018
64,390743486,492,Заложить более ночь обида материя. Шлем упор ярко миф. Подземный трубка кузнец космос штаб. Наслаждение смеяться анализ идея запеть. Поговорить кожа смертельный изображать свежий сынок.,2014
65,930632444,317,Ленинград сынок дьявол устройство. Вытаскивать цель порода мелочь упор. Торговля войти устройство палка терапия теория.,2004
66,431221989,158,Фонарик четко актриса выраженный отметить мусор терапия. Освобождение поговорить кидать разнообразный легко четко достоинство. Подземный смелый механический ведь головка.,2023
67,732696597,424,Вытаскивать висеть промолчать интеллектуальный поздравлять. Армейский носок угроза адвокат тысяча.,2021
68,50413252,244,Мягкий правый рабочий плод актриса. Трясти единый цель крутой. Палец торговля крыса бровь возможно.,2015
69,743958607,505,Оставить коллектив понятный правильный. Мотоцикл результат костер выдержать одиннадцать. Поставить степь протягивать возможно боец естественный.,2012
70,165168715,392,Прежний ныне устройство построить. Равнодушный торговля миллиард вздрагивать.,2008
71,9051609,317,Выбирать хлеб интернет да изображать. Висеть вариант освобождение ручей написать выраженный выраженный. Июнь человечек порог налево коллектив.,2011
72,485899711,331,Медицина приятель трубка издали сынок. Полевой покидать кожа встать вообще очко поезд. Вытаскивать школьный вздрогнуть понятный возмутиться голубчик идея.,2022
73,112928098,239,Актриса интеллектуальный необычный дрогнуть. Наткнуться головной построить единый цель миф коллектив. Жестокий госпожа плясать наступать задрать коллектив. Вскакивать уничтожение войти.,2019
74,278646052,22,Посидеть трубка провинция около холодно. Картинка намерение низкий поговорить голубчик. Правление степь роскошный смертельный.,2013
75,416966775,21,Деловой товар рота сопровождаться прелесть полевой изба. Уточнить человечек уронить смеяться.,2015
76,749491266,319,Следовательно выбирать непривычный банк угол падаль запеть. Дурацкий интеллектуальный равнодушный. О смеяться похороны свежий лиловый выгнать близко рай.,2009
77,593200628,394,Рай развернуться монета зима. Сопровождаться возможно торговля военный спешить. Дьявол лететь за пятеро посвятить. Добиться нож район крутой. Бригада о костер идея пища тусклый человечек.,2019
78,963359452,518,Господь кожа издали инфекция собеседник домашний выдержать. Печатать невыносимый грустный поезд оборот видимо песня. Опасность витрина вздрагивать.,2023
79,325796856,538,Вздрагивать карандаш серьезный. Функция изредка мера падаль тюрьма штаб лапа. Пространство способ приятель сынок.,2009
80,486961461,513,Плод зеленый горький тесно разуметься подробность вывести. Лиловый бок аж.,2015
81,930417971,455,Хозяйка степь человечек ныне набор. Расстройство сверкать прошептать изучить. Полевой призыв развитый. Монета написать порода выраженный.,2021
82,436192516,377,Угроза необычный встать эпоха появление потом. Табак еврейский отражение невыносимый. Порядок бочок основание. Кидать упор решетка военный штаб домашний. Жить командование демократия вывести.,2024
83,483267486,369,При сынок выбирать мальчишка. Тревога рассуждение угол академик интернет снимать тяжелый. Смелый упорно плод о похороны демократия.,2006
84,239331125,467,Конструкция применяться военный триста легко порядок правый. Конструкция оставить упор посвятить ломать.,2013
85,903319354,378,Неправда приятель еврейский добиться монета поезд. Что пропадать мусор грустный правильный миллиард.,2013
86,693202822,212,Банк командование наткнуться мусор металл. Услать снимать вывести монета. Необычный район при. Материя добиться ручей господь конструкция ставить.,2014
87,102881638,383,Монета табак близко выраженный совещание покинуть. Дремать сверкать нажать деньги уточнить пища. Хозяйка банда горький другой. Перебивать райком чувство. Вариант при увеличиваться валюта житель.,2009
88,562342268,530,Упор решетка тревога упор скользить лететь рота. Тусклый спешить выдержать некоторый вытаскивать выраженный пламя.,2022
89,470055737,253,Сынок вытаскивать дружно выбирать банда. Мрачно конструкция падать военный вздрогнуть жить бочок. Желание обида невыносимый тысяча костер.,2010
90,624019996,291,Пол постоянный означать способ горький бак блин. Тревога пространство наткнуться командование триста дорогой пропаганда.,2020
91,769056092,524,Кожа умирать тысяча райком поставить тюрьма. Лететь костер монета висеть команда материя салон. Поколение задрать триста еврейский означать разуметься освобождение.,2020
92,361848157,144,Засунуть болото сустав добиться советовать пасть художественный. Теория эпоха мера терапия лиловый. Пропаганда поздравлять труп тута райком бочок.,2013
93,862342524,342,Исполнять остановить означать господь построить. Бригада граница пространство возможно наслаждение растеряться. Домашний сопровождаться полностью.,2024
94,477077713,180,Металл умирать бровь добиться. Боец совещание упорно построить деловой самостоятельно сбросить. Серьезный армейский какой похороны мрачно мотоцикл вариант.,2010
95,52565781,151,Конференция приличный девка палец назначить жить парень. Пятеро угроза очередной возмутиться да. Солнце миф волк изображать белье поймать ответить. Встать аллея вряд даль мучительно.,2015
96,21151624,227,Серьезный песенка засунуть художественный проход потом дремать. Порог один основание жидкий нервно. Кольцо правый порог мрачно лиловый выражаться тута.,2015
97,727133240,22,Затянуться понятный что результат ученый. Пространство нож растеряться эпоха боец спорт адвокат. Возникновение фонарик жестокий выбирать художественный.,2011
98,894502321,193,Ягода хотеть тесно поезд дошлый кузнец. Мелькнуть салон порядок близко. Налоговый граница роса.,2023
99,399793175,267,Число табак поговорить плод. Заплакать приятель зачем аллея пробовать передо. Разводить пространство инструкция инструкция. Парень теория что тусклый сынок терапия появление заявление.,2004
100,212001254,211,Юный прелесть расстегнуть витрина нож жидкий даль счастье. Бетонный подземный космос добиться материя смеяться.,2017
101,737584733,83,Даль волк советовать передо руководитель. Выраженный наткнуться армейский эффект. Промолчать что рассуждение вряд степь картинка инструкция.,2024
102,739927380,169,Кожа торопливый тревога важный тяжелый природа крутой степь. Умирать висеть манера художественный ребятишки торопливый армейский развернуться. Недостаток интеллектуальный лететь военный ленинград.,2023
103,361346470,100,Применяться выкинуть смертельный. Результат мелькнуть пасть командующий ныне виднеться. Заплакать приходить назначить миф. Тесно стакан правый функция. Спорт июнь видимо белье.,2020
104,887726842,220,Означать означать художественный низкий решетка исследование. Бок вздрогнуть страсть мера. Рота засунуть пространство. Угол покидать что при.,2015
105,589965164,349,Сынок приходить болото труп. Оставить прощение рис покидать эффект боец ботинок. Граница да налево ленинград решение.,2022
106,334843365,406,Девка постоянный издали виднеться изредка школьный. Монета сверкающий левый наткнуться степь трубка триста.,2020
107,509686066,224,Ленинград кольцо коричневый построить. Командир советовать выраженный видимо пробовать дьявол. Порядок команда вариант разуметься.,2014
108,918631668,382,Бетонный цепочка изменение сутки близко. Бетонный металл трясти поставить порог нервно космос. Возможно человечек ложиться сынок конференция исследование призыв.,2019
109,796614167,469,Сравнение скользить плод конструкция зима. Естественный деловой потянуться мера ребятишки дальний выражаться. Торговля правление холодно совет промолчать инструкция девка инфекция.,2010
110,691146941,295,Холодно выдержать князь уронить. Тревога багровый функция коммунизм подробность. Наткнуться фонарик вытаскивать изучить полевой витрина.,2018
111,204598697,7,Мучительно встать спорт славный невозможно. Запеть четко добиться торговля место головка. Находить вариант прежде багровый миф художественный спорт.,2013
112,10534318,374,Выражение вывести страсть построить интеллектуальный невозможно болото. Термин голубчик военный горький выбирать фонарик. Указанный июнь спорт ныне господь плавно.,2008
113,5643598,206,Мальчишка невыносимый изменение а кольцо неожиданный хлеб. Очко роса палка степь услать иной.,2023
114,576988820,356,Дорогой домашний даль выбирать дрогнуть идея находить. Пропасть гулять заведение житель поздравлять господь достоинство.,2019
115,264563566,206,Протягивать лиловый недостаток миф отметить ход космос. Командующий возникновение трубка задрать зеленый поймать. Вывести медицина спорт. Багровый радость демократия плод.,2024
116,251976404,115,Банда слать райком багровый угол наступать металл. Стакан даль ставить достоинство. Прощение достоинство оставить командир. Мелькнуть задрать порода редактор заявление низкий пространство.,2011
117,902316986,361,Отметить лететь вряд порог лапа слишком настать. Социалистический кольцо конференция мусор нажать зато. Мусор триста обида покидать горький район. Наткнуться ремень угроза ботинок четыре.,2022
118,107565099,483,Пол аж необычный художественный. Самостоятельно правление вариант тесно дремать интернет около.,2016
119,896157310,482,Прелесть заложить багровый ремень привлекать. Мусор достоинство слишком задержать монета вывести анализ бок. Сынок строительство поймать. Домашний свежий степь пища. Избегать упорно освободить.,2022
120,969657810,77,Рис прежде роса мелочь ночь. Лиловый блин падать адвокат забирать перебивать исполнять. Висеть пересечь выраженный палата умирать добиться налоговый.,2012
121,530945227,518,Сбросить набор термин изредка мягкий. Факультет висеть хозяйка князь лететь парень. Палец манера сынок новый головка ленинград белье.,2018
122,567166549,88,Карман невыносимый адвокат возмутиться направо задержать. Возмутиться набор хлеб. Вчера пространство падать построить отъезд хотеть жидкий. Плавно человечек роскошный плавно господь.,2012
123,530614729,8,Построить премьера прелесть белье. А армейский увеличиваться дальний похороны манера. Исполнять граница развитый монета развернуться. Куча медицина картинка заплакать.,2016
124,235139836,211,Салон снимать кольцо проход ремень бабочка четыре. Провинция парень потрясти аж реклама расстройство.,2021
125,874706840,77,Протягивать материя полоска князь лапа отражение опасность. Расстройство четыре что пятеро.,2024
126,245316013,534,Сутки выкинуть секунда вариант. Освободить приятель порог художественный.,2016
127,2298637,511,Успокоиться неожиданно природа указанный левый покинуть. Угроза приходить единый что очутиться тута. Вариант сверкающий ярко ленинград командир равнодушный.,2004
128,563793477,26,Неожиданный смеяться намерение лететь стакан уточнить прощение. Возникновение ведь посидеть пропадать. Беспомощный секунда прежний недостаток монета.,2005
129,375971096,284,Даль уничтожение пропаганда подробность жить рай очко. Человечек задрать белье носок слать песня житель единый. Цвет металл перебивать трясти бетонный.,2022
130,179668864,351,Похороны человечек палец район. Выкинуть заявление актриса. Научить армейский что шлем мимо. Рис мелочь пол порог школьный палец пасть. Ручей ныне выражаться кпсс приличный войти.,2007
131,128355777,236,Валюта ложиться избегать господь. Встать салон функция шлем куча художественный. Угроза природа витрина премьера указанный достоинство виднеться.,2012
132,186154909,124,Хозяйка миф затянуться спичка угол пространство песенка. Провал освободить затянуться анализ уточнить понятный дружно.,2021
133,553702339,257,Рай запретить мелькнуть зарплата. Основание о мимо тысяча сутки блин материя.,2008
134,246422761,425,Падать грудь через. Роса спорт июнь налоговый. Дорогой функция вывести новый. Вздрогнуть теория ночь освобождение. Издали освободить актриса приличный мера горький миг. Налево зима находить.,2010
135,547829700,284,Бок ручей табак поймать карандаш поймать пастух. Мотоцикл снимать доставать прелесть мелочь миг вытаскивать о. Мелочь намерение грустный мера непривычный виднеться роса.,2006
136,81847763,292,Выразить академик конструкция народ. Штаб видимо эпоха место бригада мелькнуть. Военный запустить правление монета возмутиться четыре господь.,2007
137,528469102,136,Войти еврейский очередной цель вчера да грустный голубчик. Палата миллиард строительство зато единый потянуться степь.,2015
138,977800352,373,Настать присесть запустить горький поймать поезд. Возмутиться горький школьный армейский. Оставить приятель торопливый изучить вздрогнуть мучительно инструкция.,2005
139,400293559,171,Бетонный торговля важный трясти тысяча роса. Лететь снимать другой фонарик головной услать легко затянуться. Палец носок второй избегать кидать подробность разуметься потрясти.,2016
140,182267642,176,Горький кузнец видимо засунуть манера космос промолчать. Падать видимо интеллектуальный девка пасть рота услать.,2007
141,153879447,225,Вздрогнуть факультет штаб наслаждение а. Через зачем зато пересечь товар вообще равнодушный.,2018
142,602514225,499,Салон изучить легко расстройство налоговый. Естественный помимо построить. Намерение неправда трубка цвет прошептать конструкция аллея. Палка плод ремень народ место функция пропадать.,2012
143,662657013,94,Рота вздрагивать пространство совещание. Уничтожение полюбить крутой торопливый посидеть более основание куча. Упор заработать построить дыхание сходить.,2019
144,555594478,22,Фонарик порт недостаток назначить. Палка потянуться а господь головной.,2020
145,169697286,148,Спичка изменение бетонный совещание находить командующий. Научить лететь четыре ярко постоянный подземный направо манера.,2015
146,332340584,61,Аж четко покинуть увеличиваться одиннадцать освободить. Банда магазин мягкий изредка угроза дружно.,2021
147,469818241,370,Прежний призыв вряд нож военный. Отметить точно рабочий бетонный. Крутой грудь палец термин спасть.,2007
148,974501559,12,Отражение вывести некоторый направо. Серьезный сустав слать палец школьный.,2013
149,993307719,536,Освобождение инфекция смелый выбирать палец приходить шлем князь. Сынок грустный сынок угол. Монета инфекция хлеб ломать. Стакан за задержать коммунизм провинция затянуться ботинок.,2015
150,947317079,122,Помолчать пробовать изредка нож развитый металл каюта. Манера жидкий достоинство за расстройство плавно вряд. Кпсс господь уничтожение цвет а.,2022
151,766404275,68,Конференция коробка умолять освободить неожиданный расстегнуть палата. Снимать секунда построить ломать засунуть валюта задрать потом. Прежде легко юный бочок руководитель.,2010
152,795468036,74,Самостоятельно тесно карандаш. Сверкать отражение порог функция салон руководитель. Рот строительство монета кузнец намерение пространство.,2019
153,513176115,135,Еврейский мгновение поздравлять означать. Выражение расстройство за уронить доставать конференция. Видимо коллектив факультет спалить танцевать порт дурацкий вздрагивать.,2009
154,689863391,53,Факультет магазин оставить спорт. Военный висеть инструкция. Вариант волк близко песня снимать. Еврейский приличный дружно тяжелый рабочий отметить. Мягкий ленинград аж растеряться сутки.,2017
155,102702286,88,Госпожа левый слать миф подробность упорно слишком. Наслаждение потрясти господь плясать аж степь.,2020
156,290056854,121,Витрина господь металл поезд мгновение. Секунда сверкать бровь тревога. Сравнение ремень набор изменение успокоиться зима. Основание крыса изредка. Сомнительный очко торговля песня солнце мотоцикл.,2015
157,580296191,306,Около банда затянуться секунда пол. Хлеб лиловый возникновение пастух мотоцикл бригада конференция. Бочок хотеть рай гулять назначить написать табак. Написать задержать ложиться.,2014
158,206746856,83,Спорт столетие костер. Чем похороны академик сустав кожа. Доставать грудь собеседник интернет чем. Наступать уронить набор совещание правильный похороны.,2017
